review_Id,user_name,content,score
4b0b5a5b-86c4-48fe-9b41-e09158e47992,Hinawi yanto,Aplikasinya sangat membantu,5
e914735f-3efd-4ed6-ae57-29d6553e4a17,Rifqy M,"APLIKASI RUSAK, MASA TAMPILAN PUNYA KU JADUL KEK AJG",1
8322146a-1d68-41a6-b9d7-88cb0b92bd6b,Bi Dedeh,hvibo,5
c7d1821b-3e74-4c73-add9-3063ec10cafa,tauthy abzal,Semakin baik,4
7eedcd48-9f87-453c-9ab0-6d9029c9df7d,Kalisa Bilqis,keren,5
f7421549-ed71-4322-9996-064ad2d7eb0a,Cloud_DKN,"males banget kalau keluar grup masih aja ditanyain, bisa ga kalau keluar ga perlu ada notif notif, tidak perlu diberitahu kalau ada anggota keluar dari grup",5
98750df4-e912-456f-b7d8-7a722c11998c,Jantan Tarigan,orang terkuat Indonesia,5
211b9e93-0382-4e6d-be2e-94e46a4ee2b2,Deni Pangestu,vidio whatsapp saya selalu burik buram,1
3ca5c1d9-5295-4db0-88de-2b6d1530c353,Rido Gg,Aku membutuhkan ini untuk berpasangan dan dia menerima ku Terimakasih untuk WhatsApp,5
c14a13e7-8441-4b0c-8a0b-7a56439db127,Lhinda Florida,WhatsApp ini sangat membantu saya,5
c6366bd9-46af-47de-94ae-d180b2db1c0d,Wahid Riyadi,bagus,2
3cff0d1f-8c29-476a-a716-12c68d081e75,Walid Rizal,bagus,5
f009cb0c-4685-4d8c-85e0-eb941710861f,Marselino Amaral,Sangat bagus,5
401ff106-2ea5-4e22-bd51-724bf06109ed,Sakh Ruroh,lumayan hebat.,4
e6be1b3f-2be7-4896-abd6-5fdf91050ebe,Eti Rohaetii,whatsApp lite please,5
7c16eeab-46ea-4102-9956-338ba8c9749c,Dewoto Cengkar,Ok,5
fd62273a-5a0f-4c2e-8aad-c83ec43d367c,qurrotin Ainun,mantap,5
b7286f47-d53c-4d64-929c-45f717790f4c,ahmad Haji,lama update,5
32cbc9b1-de7c-453b-8437-c1d8940d8c9b,Wahid Purnomo,kenapa settingnya gak sesuai. terakhir di lihat tidak muncul,5
1c6493be-1f66-450d-8a53-ec8e0f06efcd,IKMIATUN HILMI,bintang 5 kalau warna pada tampilan awal atau berandanya juga bisa dirubah warnanya sama seperti gelembung chat,4
55e2478d-3253-44a6-ac86-95543c3b25b9,Yok Woiii,tolong kenapa ya akun wa saya sering kena kenon min tolong bantu di jawab pdhal saya gak ngapa ngapain min sumpah,4
c4c8688d-87ad-40b2-9610-6e027433fbba,Muh Rahbet,sangat cocok,5
50368d76-fb65-4855-83ec-0aafa69709ad,Deva Deva,saya suka menggunakan aplikasi ini memudahkan saya menghubungi kelurga,5
cb8c1674-af33-45bc-8f76-722d3449d7bf,Andra Hehe,gak tau enak aja,5
fccf6b11-b186-440b-bffb-04b646511d1c,Devana Azzahra,kayak ee,1
d0ee2bf8-ac8c-4e18-8140-e3857da06625,teh pakdedi,sangat penting.,5
5adc4d32-c03b-4aa0-b406-68eb918bb591,raja pepeng,nomor gua tiba kena pelanggaran spam padahal gua menaati peraturan pemerintah whatsapp emang wa nya aja yang bodoh,2
6974582e-0ff3-466d-9811-b4150ddf995a,lik win,bagus mudah untuk pengoprasikan,5
1807fb68-d7a5-45c8-86cf-278265c57814,Sebastianus Gatas,whatsap ini bermanfaat karena digunakan kapa kita perlu dan untuk pribadi,4
d4da3c15-c906-4db2-9ca3-f74ac7643407,Tri Cahyo,bayak iklan,2
d1f80b83-3ff2-48e1-9653-7b2eb8b68704,Melia sari Melia,kenapa setiap bulan harus di update,5
b3f50568-1432-4839-9af0-007fac382cc0,Sarah sasmita.,oke,4
b604f27f-4950-484a-9e9f-f796f65919f6,Daeng Bungsu,bagus,5
c5aa06ff-de0e-46c1-a90c-b2f3a22abd50,Muhamad Rahmadhani,good.,5
c507dc88-622d-45d4-ae86-4218437f1b89,Sapei Infinix,nanyak aplikasi yg tehapus dgn sendirinya,1
05fe625f-686e-4d1b-a082-00e7676ae255,Windi indisari,Aku mau apapung bisa ku tindis bisa,1
a8926e11-923f-4fc4-b29a-b77df5ead76f,Andy Ar,bug tidak bisa buka wa,1
de5667c7-d4d8-405a-8d22-27b139988384,Junar Kumala,ugg,5
898dde20-c028-4336-8fa2-0169aafbb29a,Makmur,"Kenapa WhatsApp.ku sering sekali muncul kata Akun ini tidak dapat menggunakan WhatsApp? , ada apa dengan aplikasi ini.? mengecewakan sekali ini aplikasinya.",1
e74d4be5-832a-4808-b0fd-c48598b39bed,Aifah al fadilah Alfa,no gua di bajak gimana cara balikinnya,1
a4ea2216-b466-4ea7-ac54-f6fa6ec1c7d8,sukraya Sukray,dagang,1
8f3a93a8-cf70-420d-a4bf-6d96dd92b83f,Sahrul Makassar,bagus sangat memudahkan untuk berkomunikasi dengan siapa saja,5
b4028012-fdfd-4e5f-9add-b87f0f49522f,Fatimah 07,kenapa sih nama dikontak pada ketuker sendiri.tolong dong diperbarui,1
971f140b-241b-4e0e-8dba-3a69fd300661,Ike Yuliana Sustyaningrum1989,"Kenapa sudah 4x WhatsApp saya kena spam trus,mohon di perbaiki lagi karena sangat mengganggu untuk mengirim data ato yg lain karna penting",5
9548576d-8f3f-4c7f-a5ef-8aaee2386da3,Mayang Sari,"sering kena spam padahal pemakaian pribadi,WhataApp sekarang uda ga begitu baguaa",1
f27425ee-2922-43d3-b378-5d01f4508f70,Ronaldo,Kenapa WhatsApp saya di blokir padahal saya tidak melanggar apa apa tolong pihak WhatsApp buka nomer wa saya lagi,5
217c8a42-2808-4d09-9d32-088d4782924d,Roha Zain,baik,5
9425d12c-e006-447d-8ed0-bbb499019459,Bu Rofiqoh,good for living,5
f3c37e9e-f28e-4b72-91f1-b3ff51e23790,Nyak Awon,lumayan,3
d501adcd-f524-431e-a279-f984c8d784cd,Tasa jumena Jumena,"ada nya wahtsApp,pekerjaan semuanya beres",3
